Time Distance Ego_vehicle_velocity Leading_vehicle_velocity
1.457286432160803891e+01 7.880229776540972786e+00 4.782380153865301686e+00 5.000000000000000000e+00
1.482412060301507495e+01 7.933653096785786119e+00 4.792303892698988044e+00 5.000000000000000000e+00
1.507537688442210921e+01 7.984632728798573886e+00 4.801833074712176241e+00 5.000000000000000000e+00
1.532663316582914348e+01 8.033266874128884183e+00 4.810975345905389666e+00 5.000000000000000000e+00
1.557788944723617952e+01 8.079651662196964068e+00 4.819739507028630854e+00 5.000000000000000000e+00
1.582914572864321556e+01 8.123880893970294892e+00 4.828135251797943894e+00 5.000000000000000000e+00
1.608040201005024983e+01 8.166045846129105001e+00 4.836172946115146587e+00 5.000000000000000000e+00
1.633165829145728409e+01 8.206235126186360418e+00 4.843863442332671632e+00 5.000000000000000000e+00
1.658291457286431836e+01 8.244534570414620234e+00 4.851217923459884673e+00 5.000000000000000000e+00
1.683417085427135618e+01 8.281027177620169155e+00 4.858247772939007447e+00 5.000000000000000000e+00
1.708542713567839044e+01 8.315793072822533105e+00 4.864964466245414343e+00 5.000000000000000000e+00
1.733668341708542471e+01 8.348909495769326838e+00 4.871379481103681464e+00 5.000000000000000000e+00
1.758793969849246253e+01 8.380450809963390313e+00 4.877504223570348962e+00 5.000000000000000000e+00
1.783919597989949679e+01 8.410488528519090679e+00 4.883349967627951926e+00 5.000000000000000000e+00
1.809045226130653106e+01 8.439091353713109811e+00 4.888927806272100440e+00 5.000000000000000000e+00
1.834170854271356532e+01 8.466325227564826861e+00 4.894248612362296136e+00 5.000000000000000000e+00
1.859296482412059959e+01 8.492253391184046762e+00 4.899323007754835757e+00 5.000000000000000000e+00
1.884422110552763741e+01 8.516936450968719541e+00 4.904161339448404711e+00 5.000000000000000000e+00
1.909547738693467167e+01 8.540432450030799316e+00 4.908773661655028597e+00 5.000000000000000000e+00
1.934673366834170594e+01 8.562796943481469469e+00 4.913169722865179168e+00 5.000000000000000000e+00
1.959798994974874375e+01 8.584083076423661751e+00 4.917358957109780881e+00 5.000000000000000000e+00
1.984924623115577802e+01 8.604341663685328712e+00 4.921350478736836287e+00 5.000000000000000000e+00
2.010050251256281229e+01 8.623621270485619661e+00 4.925153080119041960e+00 5.000000000000000000e+00
2.035175879396984655e+01 8.641968293361852460e+00 4.928775231793482980e+00 5.000000000000000000e+00
2.060301507537688082e+01 8.659427040801153552e+00 4.932225084607238408e+00 5.000000000000000000e+00
2.085427135678391863e+01 8.676039813119679422e+00 4.935510473505171802e+00 5.000000000000000000e+00
2.110552763819095290e+01 8.691846981216791335e+00 4.938638922649833063e+00 5.000000000000000000e+00
2.135678391959798716e+01 8.706887063903545609e+00 4.941617651609482742e+00 5.000000000000000000e+00
2.160804020100502498e+01 8.721196803566098055e+00 4.944453582389786384e+00 5.000000000000000000e+00
2.185929648241205925e+01 8.734811239976618680e+00 4.947153347118744549e+00 5.000000000000000000e+00
2.211055276381909351e+01 8.747763782108410879e+00 4.949723296223560887e+00 5.000000000000000000e+00
2.236180904522612778e+01 8.760086277849248759e+00 4.952169506963232770e+00 5.000000000000000000e+00
2.261306532663316204e+01 8.771809081538368247e+00 4.954497792202113615e+00 5.000000000000000000e+00
2.286432160804019986e+01 8.782961119279031337e+00 4.956713709328155026e+00 5.000000000000000000e+00
2.311557788944723413e+01 8.793569952000726886e+00 4.958822569235329603e+00 5.000000000000000000e+00
2.336683417085426839e+01 8.803661836263552587e+00 4.960829445303288843e+00 5.000000000000000000e+00
2.361809045226130621e+01 8.813261782812661593e+00 4.962739182318915532e+00 5.000000000000000000e+00
2.386934673366834048e+01 8.822393612903249860e+00 4.964556405294323405e+00 5.000000000000000000e+00
2.412060301507537474e+01 8.831080012426932413e+00 4.966285528144370964e+00 5.000000000000000000e+00
2.437185929648240901e+01 8.839342583878670112e+00 4.967930762193953242e+00 5.000000000000000000e+00
2.462311557788944327e+01 8.847201896210085792e+00 4.969496124491525002e+00 5.000000000000000000e+00
2.487437185929648109e+01 8.854677532620273794e+00 4.970985445910537592e+00 5.000000000000000000e+00
2.512562814070351536e+01 8.861788136339203703e+00 4.972402379024925878e+00 5.000000000000000000e+00
2.537688442211054962e+01 8.868551454461842454e+00 4.973750405748546655e+00 5.000000000000000000e+00
2.562814070351758744e+01 8.874984379893222197e+00 4.975032844731650528e+00 5.000000000000000000e+00
2.587939698492462171e+01 8.881102991466093499e+00 4.976252858510147981e+00 5.000000000000000000e+00
2.613065326633165597e+01 8.886922592293570844e+00 4.977413460405670342e+00 5.000000000000000000e+00
2.638190954773869024e+01 8.892457746419420772e+00 4.978517521176294203e+00 5.000000000000000000e+00
2.663316582914572450e+01 8.897722313828515084e+00 4.979567775419354803e+00 5.000000000000000000e+00
2.688442211055276232e+01 8.902729483879404881e+00 4.980566827729046686e+00 5.000000000000000000e+00
2.713567839195979658e+01 8.907491807220182523e+00 4.981517158612547291e+00 5.000000000000000000e+00
2.738693467336683085e+01 8.912021226247746952e+00 4.982421130169257140e+00 5.000000000000000000e+00
2.763819095477386867e+01 8.916329104169337327e+00 4.983280991538397764e+00 5.000000000000000000e+00
2.788944723618090293e+01 8.920426252723821392e+00 4.984098884120752970e+00 5.000000000000000000e+00
2.814070351758793720e+01 8.924322958618727597e+00 4.984876846580730714e+00 5.000000000000000000e+00
2.839195979899497146e+01 8.928029008737389915e+00 4.985616819635213304e+00 5.000000000000000000e+00
2.864321608040200573e+01 8.931553714168963154e+00 4.986320650635875040e+00 5.000000000000000000e+00
2.889447236180904355e+01 8.934905933112323950e+00 4.986990097951784939e+00 5.000000000000000000e+00
2.914572864321607781e+01 8.938094092703199323e+00 4.987626835159152172e+00 5.000000000000000000e+00
2.939698492462311208e+01 8.941126209812088277e+00 4.988232455045118918e+00 5.000000000000000000e+00
2.964824120603014990e+01 8.944009910858861545e+00 4.988808473432449375e+00 5.000000000000000000e+00
2.989949748743718416e+01 8.946752450688162384e+00 4.989356332831912155e+00 5.000000000000000000e+00
3.015075376884421843e+01 9.669578881251240432e+00 5.433151163288730601e+00 1.000000000000000000e+01
3.040201005025125269e+01 1.072429769172548575e+01 6.164826079043519869e+00 1.000000000000000000e+01
3.065326633165828696e+01 1.160855355892096163e+01 6.772283058639929187e+00 1.000000000000000000e+01
3.090452261306532478e+01 1.235655603814264758e+01 7.256217698559579432e+00 1.000000000000000000e+01
3.115577889447235904e+01 1.299489891542499542e+01 7.649525028753926925e+00 1.000000000000000000e+01
3.140703517587939331e+01 1.354345822282373746e+01 7.973857876800392042e+00 1.000000000000000000e+01
3.165829145728643113e+01 1.401756402836180371e+01 8.244287466569501177e+00 1.000000000000000000e+01
3.190954773869346539e+01 1.442931723051424697e+01 8.471745442376725777e+00 1.000000000000000000e+01
3.216080402010049966e+01 1.478843953311679016e+01 8.664414442775148828e+00 1.000000000000000000e+01
3.241206030150753747e+01 1.510284980536967403e+01 8.828572695498809964e+00 1.000000000000000000e+01
3.266331658291456819e+01 1.537907001187992684e+01 8.969133509414394467e+00 1.000000000000000000e+01
3.291457286432160600e+01 1.562252013005634410e+01 9.090004394501136176e+00 1.000000000000000000e+01
3.316582914572863672e+01 1.583773794215425923e+01 9.194334425600596106e+00 1.000000000000000000e+01
3.341708542713567454e+01 1.602854635408563055e+01 9.284689609312124503e+00 1.000000000000000000e+01
3.366834170854271235e+01 1.619818306690599385e+01 9.363180306895912963e+00 1.000000000000000000e+01
